"","X","height","weight","age","male","temp","time"
"48",70,144.145,37.194544,27,0,72.0725,18.597272
"49",73,153.67,48.307548,38,1,76.835,24.153774
"50",74,142.875,37.3362915,39,0,71.4375,18.66814575
"51",76,167.005,47.173568,30,1,83.5025,23.586784
"52",77,158.4198,47.286966,24,0,79.2099,23.643483
"53",79,165.735,57.549485,51,1,82.8675,28.7747425
"54",80,149.86,37.931631,46,0,74.93,18.9658155
"55",83,154.94,47.2019175,22,0,77.47,23.60095875
"56",84,160.9598,43.204638,29,1,80.4799,21.602319
"57",85,161.925,50.2636635,38,1,80.9625,25.13183175
"58",86,147.955,39.3774555,30,0,73.9775,19.68872775
"59",88,159.385,50.689,45,1,79.6925,25.3445
"60",89,148.59,39.4341545,47,0,74.295,19.71707725
"61",90,136.525,36.28736,79,0,68.2625,18.14368
"62",91,158.115,46.266384,45,1,79.0575,23.133192
"63",92,144.78,42.2691045,54,0,72.39,21.13455225
"64",93,156.845,47.62716,31,1,78.4225,23.81358
"65",94,179.07,55.7067675,23,1,89.535,27.85338375
"66",96,170.18,48.5626935,41,1,85.09,24.28134675
"67",97,146.05,42.807745,23,0,73.025,21.4038725
"68",98,147.32,35.0683315,36,0,73.66,17.53416575
"69",100,162.56,56.755699,30,0,81.28,28.3778495
"70",102,152.4,51.255896,34,0,76.2,25.627948
"71",103,160.02,47.230267,44,1,80.01,23.6151335
"72",104,149.86,40.936678,43,0,74.93,20.468339
"73",105,142.875,32.715323,73.3,0,71.4375,16.3576615
"74",106,167.005,57.0675435,38,1,83.5025,28.53377175
"75",107,159.385,42.977842,43,1,79.6925,21.488921
"76",108,154.94,39.9444455,33,0,77.47,19.97222275
"77",112,162.56,45.9545395,35,1,81.28,22.97726975
"78",113,152.4,41.106775,29,0,76.2,20.5533875
"79",117,170.18,47.5988105,58,1,85.09,23.79940525
"80",118,146.05,37.5063885,53,0,73.025,18.75319425
"81",119,159.385,45.019006,51,1,79.6925,22.509503
"82",120,151.13,42.2691045,48,0,75.565,21.13455225
"83",121,160.655,54.8562825,29,1,80.3275,27.42814125
"84",122,169.545,53.523856,41,1,84.7725,26.761928
"85",123,158.75,52.1914295,81.75,1,79.375,26.09571475
"86",125,149.86,42.410852,35,0,74.93,21.205426
"87",126,153.035,49.5832755,46,0,76.5175,24.79163775
"88",128,161.925,41.730464,29,1,80.9625,20.865232
"89",129,162.56,56.018612,42,1,81.28,28.009306
"90",130,149.225,42.1557065,27,0,74.6125,21.07785325
"91",133,163.195,53.0986135,22,1,81.5975,26.54930675
"92",134,161.925,50.235314,43,1,80.9625,25.117657
"93",135,145.415,42.52425,53,0,72.7075,21.262125
"94",136,163.195,49.101334,43,1,81.5975,24.550667
"95",137,151.13,38.498621,41,0,75.565,19.2493105
"96",138,150.495,49.8100715,50,0,75.2475,24.90503575
"97",140,170.815,59.760746,33,1,85.4075,29.880373
"98",142,157.48,47.9390045,62,1,78.74,23.96950225
"99",143,152.4,39.292407,49,0,76.2,19.6462035
"100",146,147.32,36.8826995,22,0,73.66,18.44134975
"101",147,145.415,42.127357,29,0,72.7075,21.0636785
"102",150,157.48,44.565414,33,1,78.74,22.282707
"103",151,154.305,47.853956,34,0,77.1525,23.926978
"104",154,167.005,55.1964765,42,1,83.5025,27.59823825
"105",155,142.875,32.998818,40,0,71.4375,16.499409
"106",156,152.4,40.879979,27,0,76.2,20.4399895
"107",158,160,51.2,25,1,80,25.6
"108",159,159.385,49.044635,29,1,79.6925,24.5223175
"109",160,149.86,53.4388075,45,0,74.93,26.71940375
"110",161,160.655,54.090846,26,1,80.3275,27.045423
"111",162,160.655,55.3665735,45,1,80.3275,27.68328675
"112",163,149.225,42.240755,45,0,74.6125,21.1203775
"113",165,140.97,40.936678,85.5999999999999,0,70.485,20.468339
"114",166,154.94,49.6966735,26,1,77.47,24.84833675
"115",167,141.605,44.338618,24,0,70.8025,22.169309
"116",168,160.02,45.9545395,57,1,80.01,22.97726975
"117",169,150.1648,41.95726,22,0,75.0824,20.97863
"118",170,155.575,51.482692,24,0,77.7875,25.741346
"119",173,156.21,44.111822,21,0,78.105,22.055911
"120",174,153.035,32.205032,79,0,76.5175,16.102516
"121",175,167.005,56.755699,50,1,83.5025,28.3778495
"122",176,149.86,52.673371,40,0,74.93,26.3366855
"123",177,147.955,36.4858065,64,0,73.9775,18.24290325
"124",178,159.385,48.8461885,32,1,79.6925,24.42309425
"125",179,161.925,56.9541455,38.7,1,80.9625,28.47707275
"126",180,155.575,42.0990075,26,0,77.7875,21.04950375
"127",181,159.385,50.178615,63,1,79.6925,25.0893075
"128",182,146.685,46.549879,62,0,73.3425,23.2749395
"129",183,172.72,61.80191,22,1,86.36,30.900955
"130",184,166.37,48.987936,41,1,83.185,24.493968
"131",190,151.765,35.2951275,74,0,75.8825,17.64756375
"132",191,156.845,45.642695,41,1,78.4225,22.8213475
"133",192,148.59,43.885026,33,0,74.295,21.942513
"134",193,157.48,45.5576465,53,0,78.74,22.77882325
"135",195,147.955,41.163474,37,0,73.9775,20.581737
"136",197,153.035,45.245802,61,0,76.5175,22.622901
"137",198,160.655,53.637254,44,1,80.3275,26.818627
"138",199,149.225,52.3048275,35,0,74.6125,26.15241375
"139",202,138.43,39.0939605,23,0,69.215,19.54698025
"140",204,162.56,45.699394,55,1,81.28,22.849697
"141",205,149.225,40.3980375,53,0,74.6125,20.19901875
"142",206,158.75,51.482692,59,1,79.375,25.741346
"143",207,149.86,38.668718,57,0,74.93,19.334359
"144",208,158.115,39.235708,35,1,79.0575,19.617854
"145",209,156.21,44.338618,29,0,78.105,22.169309
"146",210,148.59,39.519203,62,1,74.295,19.7596015
"147",212,154.305,46.776675,51,0,77.1525,23.3883375
"148",215,157.48,50.178615,42,1,78.74,25.0893075
"149",216,154.305,41.276872,25,0,77.1525,20.638436
"150",218,168.275,54.6,41,1,84.1375,27.3
"151",219,145.415,44.9906565,37,0,72.7075,22.49532825
"152",223,149.225,35.8054185,82,1,74.6125,17.90270925
"153",224,154.94,45.2174525,28,1,77.47,22.60872625
"154",225,162.56,48.1091015,50,1,81.28,24.05455075
"155",226,156.845,45.6710445,43,0,78.4225,22.83552225
"156",228,161.0106,48.420946,31,1,80.5053,24.210473
"157",229,144.78,41.1918235,67,0,72.39,20.59591175
"158",230,143.51,38.4135725,39,0,71.755,19.20678625
"159",233,149.86,38.2434755,48,0,74.93,19.12173775
"160",234,165.735,48.3358975,30,1,82.8675,24.16794875
"161",235,144.145,38.9238635,64,0,72.0725,19.46193175
"162",236,157.48,40.029494,72,1,78.74,20.014747
"163",237,154.305,50.2069645,68,0,77.1525,25.10348225
"164",238,163.83,54.2892925,44,1,81.915,27.14464625
"165",239,156.21,45.6,43,0,78.105,22.8
"166",242,144.145,39.4341545,34,0,72.0725,19.71707725
"167",244,162.56,43.204638,62,1,81.28,21.602319
"168",245,146.05,31.864838,44,0,73.025,15.932419
"169",247,154.94,45.4442485,31,1,77.47,22.72212425
"170",248,144.78,38.045029,29,0,72.39,19.0225145
"171",250,146.685,36.0889135,62,0,73.3425,18.04445675
"172",251,152.4,40.879979,67,0,76.2,20.4399895
"173",252,163.83,47.910655,57,1,81.915,23.9553275
"174",253,165.735,47.7122085,32,1,82.8675,23.85610425
"175",254,156.21,46.379782,24,0,78.105,23.189891
"176",255,152.4,41.163474,77,1,76.2,20.581737
"177",256,140.335,36.5992045,62,0,70.1675,18.29960225
"178",258,163.195,48.137451,67,1,81.5975,24.0687255
"179",259,151.13,36.7126025,70,0,75.565,18.35630125
"180",260,171.1198,56.5572525,37,1,85.5599,28.27862625
"181",261,149.86,38.6970675,58,0,74.93,19.34853375
"182",262,163.83,47.4854125,35,1,81.915,23.74270625
"183",263,141.605,36.2023115,30,0,70.8025,18.10115575
"184",265,149.225,41.276872,26,0,74.6125,20.638436
"185",267,146.05,44.7638605,21,0,73.025,22.38193025
"186",268,161.29,50.4337605,41,1,80.645,25.21688025
"187",269,162.56,55.281525,46,1,81.28,27.6407625
"188",270,145.415,37.931631,49,0,72.7075,18.9658155
"189",272,170.815,58.456669,28,1,85.4075,29.2283345
"190",274,159.385,44.4236665,83,0,79.6925,22.21183325
"191",275,159.4,44.4,54,1,79.7,22.2
"192",276,153.67,44.565414,54,0,76.835,22.282707
"193",277,160.02,44.622113,68,1,80.01,22.3110565
"194",278,150.495,40.483086,68,0,75.2475,20.241543
"195",279,149.225,44.0834725,56,0,74.6125,22.04173625
"196",281,142.875,34.416293,57,0,71.4375,17.2081465
"197",282,142.113,32.772022,22,0,71.0565,16.386011
"198",283,147.32,35.947166,40,0,73.66,17.973583
"199",285,164.465,53.183662,41,1,82.2325,26.591831
"200",286,160.02,37.081146,75.9000000000001,1,80.01,18.540573
"201",287,153.67,40.5114355,73.9000000000001,0,76.835,20.25571775
"202",288,167.005,50.6038575,49,1,83.5025,25.30192875
"203",289,151.13,43.9700745,26,1,75.565,21.98503725
"204",293,153.035,49.89,88,1,76.5175,24.945
"205",294,139.065,33.5941575,68,0,69.5325,16.79707875
"206",295,152.4,43.8566765,33,1,76.2,21.92833825
"207",296,154.94,48.137451,26,0,77.47,24.0687255
"208",297,147.955,42.751046,56,0,73.9775,21.375523
"209",300,144.145,33.906002,34,0,72.0725,16.953001
"210",303,155.575,39.7176495,74,1,77.7875,19.85882475
"211",304,150.495,35.947166,69,0,75.2475,17.973583
"212",305,155.575,50.915702,50,1,77.7875,25.457851
"213",306,154.305,45.756093,44,0,77.1525,22.8780465
"214",310,168.91,58.8252125,41,1,84.455,29.41260625
"215",311,150.495,43.4597835,27,0,75.2475,21.72989175
"216",313,160.02,51.9646335,38,1,80.01,25.98231675
"217",314,167.64,50.688906,57,1,83.82,25.344453
"218",315,144.145,34.246196,64.5,0,72.0725,17.123098
"219",316,145.415,39.3774555,42,0,72.7075,19.68872775
"220",317,160.02,59.5622995,24,1,80.01,29.78114975
"221",319,164.465,52.16308,71,1,82.2325,26.08154
"222",320,153.035,39.972795,49.5,0,76.5175,19.9863975
"223",321,149.225,43.941725,33,1,74.6125,21.9708625
"224",322,160.02,54.601137,28,0,80.01,27.3005685
"225",323,149.225,45.075705,47,0,74.6125,22.5378525
"226",330,153.67,41.333571,27,0,76.835,20.6667855
"227",336,150.495,41.900561,55,0,75.2475,20.9502805
"228",337,151.765,42.524,83.4000000000001,1,75.8825,21.262
"229",340,158.115,43.147939,63,1,79.0575,21.5739695
"230",341,149.225,40.82328,52,0,74.6125,20.41164
"231",342,151.765,42.864444,49,1,75.8825,21.432222
"232",343,154.94,46.209685,31,0,77.47,23.1048425
"233",346,161.29,47.853956,35,1,80.645,23.926978
"234",347,148.59,42.52425,35,0,74.295,21.262125
"235",350,160.655,48.5059945,24,1,80.3275,24.25299725
"236",351,157.48,45.869491,41,1,78.74,22.9347455
"237",352,167.005,52.900167,32,1,83.5025,26.4500835
"238",353,157.48,47.570461,43,1,78.74,23.7852305
"239",357,152.4,43.544832,63,0,76.2,21.772416
"240",358,152.4,43.431434,21,0,76.2,21.715717
"241",366,161.925,53.2120115,55,0,80.9625,26.60600575
"242",367,152.4,44.678812,38,0,76.2,22.339406
"243",372,159.385,47.2019175,28,1,79.6925,23.60095875
"244",374,142.24,31.6663915,36,0,71.12,15.83319575
"245",375,168.91,56.4438545,38,1,84.455,28.22192725
"246",380,160.02,55.791816,48,1,80.01,27.895908
"247",383,158.115,47.4854125,45,1,79.0575,23.74270625
"248",386,152.4,45.1607535,38,0,76.2,22.58037675
"249",387,155.575,45.529297,21,0,77.7875,22.7646485
"250",388,154.305,48.874538,50,0,77.1525,24.437269
"251",389,156.845,46.5782285,41,1,78.4225,23.28911425
"252",393,156.21,43.885026,30,0,78.105,21.942513
"253",397,168.275,56.0469615,21,1,84.1375,28.02348075
"254",398,147.955,40.086193,38,0,73.9775,20.0430965
"255",403,160.7,46.3,31,1,80.35,23.15
"256",406,161.29,49.3564795,21,1,80.645,24.67823975
"257",410,150.495,44.111822,50,0,75.2475,22.055911
"258",411,163.195,51.0291,39,1,81.5975,25.51455
"259",412,148.59,40.766581,44,1,74.295,20.3832905
"260",413,148.59,37.5630875,36,0,74.295,18.78154375
"261",414,161.925,51.59609,36,1,80.9625,25.798045
"262",417,151.13,43.4030845,58,0,75.565,21.70154225
"263",418,163.83,46.719976,58,1,81.915,23.359988
"264",419,153.035,39.5475525,33,0,76.5175,19.77377625
"265",420,151.765,34.7848365,21.5,0,75.8825,17.39241825
"266",422,156.21,39.292407,26,1,78.105,19.6462035
"267",423,140.335,37.4496895,22,0,70.1675,18.72484475
"268",424,158.75,48.6760915,28,1,79.375,24.33804575
"269",425,142.875,35.606972,42,0,71.4375,17.803486
"270",427,151.9428,43.714929,21,1,75.9714,21.8574645
"271",430,160.9852,50.972401,48,1,80.4926,25.4862005
"272",431,144.78,43.998424,46,0,72.39,21.999212
"273",434,160.02,48.19415,25,1,80.01,24.097075
"274",436,160.9852,46.6916265,51,1,80.4926,23.34581325
"275",437,165.989,56.415505,25,1,82.9945,28.2077525
"276",438,157.988,48.591043,28,1,78.994,24.2955215
"277",439,154.94,48.2224995,26,0,77.47,24.11124975
"278",442,160.655,47.4854125,54,1,80.3275,23.74270625
"279",443,147.32,35.550273,66,0,73.66,17.7751365
"280",445,147.32,48.9595865,25,0,73.66,24.47979325
"281",446,172.9994,51.255896,38,1,86.4997,25.627948
"282",447,158.115,46.5215295,51,1,79.0575,23.26076475
"283",448,147.32,36.967748,48,0,73.66,18.483874
"284",451,165.989,48.647742,27,1,82.9945,24.323871
"285",452,149.86,38.045029,22,0,74.93,19.0225145
"286",454,161.925,47.286966,60,1,80.9625,23.643483
"287",458,163.83,55.394923,43,1,81.915,27.6974615
"288",460,160.02,54.204244,27,1,80.01,27.102122
"289",461,154.94,48.477645,30,1,77.47,24.2388225
"290",462,152.4,43.0628905,29,0,76.2,21.53144525
"291",464,146.05,34.189497,23,0,73.025,17.0947485
"292",465,151.9936,49.951819,30,0,75.9968,24.9759095
"293",469,151.765,44.338618,41,0,75.8825,22.169309
"294",470,144.78,33.45241,42,0,72.39,16.726205
"295",473,160.655,47.286966,43,1,80.3275,23.643483
"296",474,151.13,46.1246365,35,0,75.565,23.06231825
"297",477,153.67,47.400364,75.5,1,76.835,23.700182
"298",478,147.32,40.8516295,64,0,73.66,20.42581475
"299",479,139.7,50.348712,38,1,69.85,25.174356
"300",480,157.48,45.132404,24.2,0,78.74,22.566202
"301",482,154.94,42.240755,26,1,77.47,21.1203775
"302",485,158.115,45.2174525,43,1,79.0575,22.60872625
"303",486,147.32,51.255896,38,0,73.66,25.627948
"304",489,160.02,49.271431,23,1,80.01,24.6357155
"305",491,165.1,51.199197,49,1,82.55,25.5995985
"306",492,154.94,43.8566765,41,0,77.47,21.92833825
"307",494,153.67,35.5219235,23,0,76.835,17.76096175
"308",496,141.605,42.88542,43,0,70.8025,21.44271
"309",498,163.83,46.776675,21,1,81.915,23.3883375
"310",499,161.29,41.8722115,24,1,80.645,20.93610575
"311",502,170.18,53.637254,34,1,85.09,26.818627
"312",503,149.86,42.977842,29,0,74.93,21.488921
"313",506,160.655,39.7743485,65,1,80.3275,19.88717425
"314",507,154.94,43.3463855,46,0,77.47,21.67319275
"315",510,166.37,52.673371,43,1,83.185,26.3366855
"316",511,148.2852,38.441922,39,0,74.1426,19.220961
"317",515,151.765,42.807745,43,0,75.8825,21.4038725
"318",516,148.59,35.890467,70,0,74.295,17.9452335
"319",517,153.67,44.22522,26,0,76.835,22.11261
"320",519,146.685,38.0733785,48,0,73.3425,19.03668925
"321",524,154.94,44.111822,44,1,77.47,22.055911
"322",525,156.21,44.0267735,33,0,78.105,22.01338675
"323",529,160.655,47.8823055,41,1,80.3275,23.94115275
"324",530,146.05,39.405805,37.4,0,73.025,19.7029025
"325",533,156.21,41.050076,53,1,78.105,20.525038
"326",534,152.4,40.82328,49,0,76.2,20.41164
"327",535,162.56,47.0318205,27,0,81.28,23.51591025
"328",538,142.875,34.246196,31,0,71.4375,17.123098
"329",541,162.56,52.16308,31,1,81.28,26.08154
"330",542,156.21,54.0624965,21,0,78.105,27.03124825
"331",544,158.75,52.5316235,68,1,79.375,26.26581175
